# GDSS mood data. One flat CSV per mood, rows tagged by `type`:
#   meta            key,value            - tonic note, mode, tempo (bpm), tension_degree, contour
#   leap_rule       max_leap,resolve_direction
#   interval_weight degree,weight_strong,weight_weak   (degree 0-6 within the mode)
#   register        voice,low_note,high_note,waveform,gain,vibrato_rate,vibrato_depth
#                     (vibrato_rate Hz / vibrato_depth cents - both blank/0 = no vibrato)
#   seed_motif      voice,motif_id,section,degrees,rhythm   (degrees/rhythm are |-separated;
#                     degree "R" = rest, degree "a+b" = a chord: two+ degrees sounded together)
# Voices: bass / chords / lead are the core Bass-Chords-Melody trio; rhythm is an optional
# 4th percussive/pulse layer, and moods may declare extra voices (see combat_boss's 'solo').
# Edit freely with a text editor - no rebuild required.
#
# v2 revision note: explicitly called out by the playtester as working well (the rising
# arpeggio tension-build) - left musically untouched, only the mid->chords voice rename.
type,key,value,degree,weight_strong,weight_weak,max_leap,resolve_direction,voice,low_note,high_note,waveform,gain,vibrato_rate,vibrato_depth,motif_id,section,degrees,rhythm
meta,tonic,E2,,,,,,,,,,,,,,,,
meta,mode,phrygian,,,,,,,,,,,,,,,,
meta,tempo,138,,,,,,,,,,,,,,,,
meta,tension_degree,1,,,,,,,,,,,,,,,,
meta,contour,0|0|1|0,,,,,,,,,,,,,,,,
leap_rule,,,,,,2,opposite,,,,,,,,,,,
interval_weight,,,0,32,18,,,,,,,,,,,,,
interval_weight,,,1,16,14,,,,,,,,,,,,,
interval_weight,,,2,14,14,,,,,,,,,,,,,
interval_weight,,,3,12,14,,,,,,,,,,,,,
interval_weight,,,4,16,16,,,,,,,,,,,,,
interval_weight,,,5,5,12,,,,,,,,,,,,,
interval_weight,,,6,5,12,,,,,,,,,,,,,
register,,,,,,,,bass,E1,B1,sine,0.30,,,,,,
register,,,,,,,,chords,E2,B2,square,0.12,,,,,,
register,,,,,,,,lead,E3,E4,sawtooth,0.16,,,,,,
register,,,,,,,,rhythm,E3,E4,square,0.12,,,,,,
seed_motif,,,,,,,,bass,,,,,,,b1,intro,0|0,2|2
seed_motif,,,,,,,,bass,,,,,,,b2,A,0|0|4|0,1|1|1|1
seed_motif,,,,,,,,bass,,,,,,,b3,B,0|4|0|4,1|1|1|1
seed_motif,,,,,,,,chords,,,,,,,m1,A,0|1|0,0.5|0.5|1
seed_motif,,,,,,,,chords,,,,,,,m2,B,4|1|0,0.5|0.5|1
seed_motif,,,,,,,,lead,,,,,,,l1,intro,R|0,2|2
seed_motif,,,,,,,,lead,,,,,,,l2,A,0|1|0|1,0.5|0.5|0.5|0.5
seed_motif,,,,,,,,lead,,,,,,,l3,B,4|1|0|1,0.5|0.5|0.5|0.5
seed_motif,,,,,,,,rhythm,,,,,,,r1,A,0|0|0|0,0.5|0.5|0.5|0.5
seed_motif,,,,,,,,rhythm,,,,,,,r2,B,0|0|0|0,0.5|0.5|0.5|0.5
