# GDSS mood data. One flat CSV per mood, rows tagged by `type`:
#   meta            key,value            - tonic note, mode, tempo (bpm), tension_degree, contour
#   leap_rule       max_leap,resolve_direction
#   interval_weight degree,weight_strong,weight_weak   (degree 0-6 within the mode)
#   register        voice,low_note,high_note,waveform,gain,vibrato_rate,vibrato_depth
#                     (vibrato_rate Hz / vibrato_depth cents - both blank/0 = no vibrato)
#   seed_motif      voice,motif_id,section,degrees,rhythm   (degrees/rhythm are |-separated;
#                     degree "R" = rest, degree "a+b" = a chord: two+ degrees sounded together)
# Voices: bass / chords / lead are the core Bass-Chords-Melody trio; rhythm is an optional
# 4th percussive/pulse layer, and moods may declare extra voices (see combat_boss's 'solo').
# Edit freely with a text editor - no rebuild required.
#
# v2 revision note (playtester feedback): the v1 take on this mood read as a funeral
# dirge, not "tomb-raiding, anxious about the cursed goblet I just swiped." The fix is
# NOT a mode change (locrian's built-in instability is right for dungeon) - it's tempo,
# register, and rhythm: faster, higher, more clipped/rest-heavy so it reads as alert and
# listening rather than legato and grieving. The chords voice adds short dissonant stabs
# (a tritone, then a tighter half-step cluster in B) as a "something's wrong" cue.
type,key,value,degree,weight_strong,weight_weak,max_leap,resolve_direction,voice,low_note,high_note,waveform,gain,vibrato_rate,vibrato_depth,motif_id,section,degrees,rhythm
meta,tonic,D2,,,,,,,,,,,,,,,,
meta,mode,locrian,,,,,,,,,,,,,,,,
meta,tempo,72,,,,,,,,,,,,,,,,
meta,tension_degree,4,,,,,,,,,,,,,,,,
meta,contour,0|1|0|-1|0,,,,,,,,,,,,,,,,
leap_rule,,,,,,2,opposite,,,,,,,,,,,
interval_weight,,,0,26,14,,,,,,,,,,,,,
interval_weight,,,1,24,22,,,,,,,,,,,,,
interval_weight,,,2,8,10,,,,,,,,,,,,,
interval_weight,,,3,10,12,,,,,,,,,,,,,
interval_weight,,,4,18,16,,,,,,,,,,,,,
interval_weight,,,5,7,10,,,,,,,,,,,,,
interval_weight,,,6,7,16,,,,,,,,,,,,,
register,,,,,,,,bass,D2,A2,sine,0.24,,,,,,
register,,,,,,,,chords,D3,A3,triangle,0.10,,,,,,
register,,,,,,,,lead,D4,Bb4,triangle,0.18,,,,,,
register,,,,,,,,rhythm,D4,D5,square,0.06,,,,,,
seed_motif,,,,,,,,bass,,,,,,,b1,intro,0|R|0|R,2|2|2|2
seed_motif,,,,,,,,bass,,,,,,,b2,A,0|R|4|0,1|1|1|2
seed_motif,,,,,,,,bass,,,,,,,b3,B,0|R|0|R,2|1|2|1
seed_motif,,,,,,,,chords,,,,,,,m1,A,R|0+4|R|R,1|1|1|1
seed_motif,,,,,,,,chords,,,,,,,m2,B,R|R|0+1|R,1|1|1|1
seed_motif,,,,,,,,lead,,,,,,,l1,intro,R|R|R|0,3|2|2|1
seed_motif,,,,,,,,lead,,,,,,,l2,A,0|1|0|-1|R|0,1|0.5|1|0.5|1|1
seed_motif,,,,,,,,lead,,,,,,,l3,B,0|1|2|1|R|1,0.5|0.5|0.5|0.5|1|1
seed_motif,,,,,,,,rhythm,,,,,,,r1,A,0|R|R|0,0.5|1.5|1.5|0.5
seed_motif,,,,,,,,rhythm,,,,,,,r2,B,0|R|0|R,1|1|1|1
