# GDSS mood data. One flat CSV per mood, rows tagged by `type`:
#   meta            key,value            - tonic note, mode, tempo (bpm), tension_degree, contour
#   leap_rule       max_leap,resolve_direction
#   interval_weight degree,weight_strong,weight_weak   (degree 0-6 within the mode)
#   register        voice,low_note,high_note,waveform,gain,vibrato_rate,vibrato_depth
#                     (vibrato_rate Hz / vibrato_depth cents - both blank/0 = no vibrato)
#   seed_motif      voice,motif_id,section,degrees,rhythm   (degrees/rhythm are |-separated;
#                     degree "R" = rest, degree "a+b" = a chord: two+ degrees sounded together)
# Voices: bass / chords / lead are the core Bass-Chords-Melody trio; rhythm is an optional
# 4th percussive/pulse layer, and moods may declare extra voices (see combat_boss's 'solo').
# Edit freely with a text editor - no rebuild required.
#
# v2 revision note: not explicitly critiqued by the playtester - left musically close
# to v1 (dotted rhythms encoded as uneven 1.5/0.5 pairs). Only change beyond the
# mid->chords rename: each chords motif now lands one dyad stab on its downbeat, so it
# reads as harmony support under the lead rather than a second unison-ish melody line.
type,key,value,degree,weight_strong,weight_weak,max_leap,resolve_direction,voice,low_note,high_note,waveform,gain,vibrato_rate,vibrato_depth,motif_id,section,degrees,rhythm
meta,tonic,D3,,,,,,,,,,,,,,,,
meta,mode,dorian,,,,,,,,,,,,,,,,
meta,tempo,126,,,,,,,,,,,,,,,,
meta,tension_degree,6,,,,,,,,,,,,,,,,
meta,contour,0|2|4|2|0|4,,,,,,,,,,,,,,,,
leap_rule,,,,,,3,opposite,,,,,,,,,,,
interval_weight,,,0,24,15,,,,,,,,,,,,,
interval_weight,,,1,10,15,,,,,,,,,,,,,
interval_weight,,,2,18,16,,,,,,,,,,,,,
interval_weight,,,3,12,14,,,,,,,,,,,,,
interval_weight,,,4,20,16,,,,,,,,,,,,,
interval_weight,,,5,10,14,,,,,,,,,,,,,
interval_weight,,,6,6,10,,,,,,,,,,,,,
register,,,,,,,,bass,D2,A2,triangle,0.22,,,,,,
register,,,,,,,,chords,D3,A3,square,0.11,,,,,,
register,,,,,,,,lead,D4,A4,sawtooth,0.17,,,,,,
register,,,,,,,,rhythm,D3,D4,square,0.10,,,,,,
seed_motif,,,,,,,,bass,,,,,,,b1,intro,0|0|4|0,2|2|2|2
seed_motif,,,,,,,,bass,,,,,,,b2,A,0|4|0|4,1|1|1|1
seed_motif,,,,,,,,bass,,,,,,,b3,B,0|4|0|4,1|1|1|1
seed_motif,,,,,,,,chords,,,,,,,m1,A,0+3|2|3|2,1|1|1|1
seed_motif,,,,,,,,chords,,,,,,,m2,B,4+0|2|0|4,1|1|1|1
seed_motif,,,,,,,,lead,,,,,,,l1,intro,R|0|2|4,1.5|0.5|1|1
seed_motif,,,,,,,,lead,,,,,,,l2,A,0|2|4|2|0|4,1.5|0.5|1|1|1.5|0.5
seed_motif,,,,,,,,lead,,,,,,,l3,B,4|5|4|2|0|2,1.5|0.5|1|1|1.5|0.5
seed_motif,,,,,,,,rhythm,,,,,,,r1,A,0|0|4|4,1.5|0.5|1.5|0.5
seed_motif,,,,,,,,rhythm,,,,,,,r2,B,0|0|0|0,1.5|0.5|1|1
