# GDSS mood data — see moods/dungeon.csv for full schema notes.
# Town's "hurdy-gurdy drone" character comes from data, not special-case code: the
# bass voice's seed motifs are a single held tonic note spanning the whole section.
type,key,value,degree,weight_strong,weight_weak,max_leap,resolve_direction,voice,low_note,high_note,waveform,gain,motif_id,section,degrees,rhythm
meta,tonic,G2,,,,,,,,,,,,,,
meta,mode,mixolydian,,,,,,,,,,,,,,
meta,tempo,84,,,,,,,,,,,,,,
meta,tension_degree,6,,,,,,,,,,,,,,
meta,contour,0|2|3|2|0,,,,,,,,,,,,,,
leap_rule,,,,,,3,opposite,,,,,,,,,
interval_weight,,,0,26,16,,,,,,,,,,,
interval_weight,,,1,10,14,,,,,,,,,,,
interval_weight,,,2,18,16,,,,,,,,,,,
interval_weight,,,3,12,14,,,,,,,,,,,
interval_weight,,,4,20,16,,,,,,,,,,,
interval_weight,,,5,6,12,,,,,,,,,,,
interval_weight,,,6,8,12,,,,,,,,,,,
register,,,,,,,,bass,G1,D2,sine,0.30,,,,
register,,,,,,,,mid,G2,D3,triangle,0.13,,,,
register,,,,,,,,lead,G3,D4,triangle,0.16,,,,
register,,,,,,,,rhythm,G3,G4,square,0.05,,,,
seed_motif,,,,,,,,bass,,,,,b1,intro,0,8
seed_motif,,,,,,,,bass,,,,,b2,A,0,16
seed_motif,,,,,,,,bass,,,,,b3,B,0,16
seed_motif,,,,,,,,mid,,,,,m1,A,0|2|3|2|0|2,1|1|1|1|1|1
seed_motif,,,,,,,,mid,,,,,m2,B,4|3|2|0|2|4,1|1|1|1|1|2
seed_motif,,,,,,,,lead,,,,,l1,intro,R|R|0|2,2|2|2|2
seed_motif,,,,,,,,lead,,,,,l2,A,0|2|4|3|2|0,1|1|1|1|1|2
seed_motif,,,,,,,,lead,,,,,l3,B,4|6|4|2|0,1|1|1|2|3
seed_motif,,,,,,,,rhythm,,,,,r1,A,0|R|R|R,1|3|3|3
seed_motif,,,,,,,,rhythm,,,,,r2,B,0|R|R|R|R,1|4|4|4|3
