# GDSS mood data — see moods/dungeon.csv for full schema notes.
type,key,value,degree,weight_strong,weight_weak,max_leap,resolve_direction,voice,low_note,high_note,waveform,gain,motif_id,section,degrees,rhythm
meta,tonic,C3,,,,,,,,,,,,,,
meta,mode,major,,,,,,,,,,,,,,
meta,tempo,118,,,,,,,,,,,,,,
meta,tension_degree,6,,,,,,,,,,,,,,
meta,contour,0|2|4|7|4,,,,,,,,,,,,,,
leap_rule,,,,,,4,opposite,,,,,,,,,
interval_weight,,,0,30,16,,,,,,,,,,,
interval_weight,,,1,6,12,,,,,,,,,,,
interval_weight,,,2,22,16,,,,,,,,,,,
interval_weight,,,3,8,12,,,,,,,,,,,
interval_weight,,,4,22,16,,,,,,,,,,,
interval_weight,,,5,6,12,,,,,,,,,,,
interval_weight,,,6,6,16,,,,,,,,,,,
register,,,,,,,,bass,C2,G2,triangle,0.22,,,,
register,,,,,,,,mid,C3,G3,triangle,0.15,,,,
register,,,,,,,,lead,C4,C5,square,0.17,,,,
register,,,,,,,,rhythm,C4,C5,square,0.12,,,,
seed_motif,,,,,,,,bass,,,,,b1,intro,0|4|0|4,2|2|2|2
seed_motif,,,,,,,,bass,,,,,b2,A,0|4|0|4,1|1|1|1
seed_motif,,,,,,,,bass,,,,,b3,B,0|4|7|4,1|1|1|1
seed_motif,,,,,,,,mid,,,,,m1,A,0|2|4|2,1|1|1|1
seed_motif,,,,,,,,mid,,,,,m2,B,4|2|0|4,1|1|1|1
seed_motif,,,,,,,,lead,,,,,l1,intro,0|2|4|7,1|1|1|1
seed_motif,,,,,,,,lead,,,,,l2,A,0|2|4|7|4,0.5|0.5|0.5|1|1.5
seed_motif,,,,,,,,lead,,,,,l3,B,7|4|2|0,1|1|1|2
seed_motif,,,,,,,,rhythm,,,,,r1,A,0|R|4|R,0.5|0.5|0.5|0.5
seed_motif,,,,,,,,rhythm,,,,,r2,B,0|4|0|4,0.5|0.5|0.5|0.5
