# GDSS mood data. One flat CSV per mood, rows tagged by `type`:
#   meta            key,value            - tonic note, mode, tempo (bpm), tension_degree, contour
#   leap_rule       max_leap,resolve_direction
#   interval_weight degree,weight_strong,weight_weak   (degree 0-6 within the mode)
#   register        voice,low_note,high_note,waveform,gain,vibrato_rate,vibrato_depth
#                     (vibrato_rate Hz / vibrato_depth cents - both blank/0 = no vibrato)
#   seed_motif      voice,motif_id,section,degrees,rhythm   (degrees/rhythm are |-separated;
#                     degree "R" = rest, degree "a+b" = a chord: two+ degrees sounded together)
# Voices: bass / chords / lead are the core Bass-Chords-Melody trio; rhythm is an optional
# 4th percussive/pulse layer, and moods may declare extra voices (see combat_boss's 'solo').
# Edit freely with a text editor - no rebuild required.
#
# v2 revision note: v1 read as "a big robot taking slow steps" - a steady pulse voice
# plus short even bass notes made it march. Fix: rhythm voice dropped entirely (see
# structure file), bass/chords now hold long sustained tones instead of a walking
# line, and lead carries a gentle vibrato (2nd LFO oscillator modulating .detune,
# see synth.js) for an open-air, breathing quality instead of a marked beat.
type,key,value,degree,weight_strong,weight_weak,max_leap,resolve_direction,voice,low_note,high_note,waveform,gain,vibrato_rate,vibrato_depth,motif_id,section,degrees,rhythm
meta,tonic,A2,,,,,,,,,,,,,,,,
meta,mode,natural_minor,,,,,,,,,,,,,,,,
meta,tempo,68,,,,,,,,,,,,,,,,
meta,tension_degree,6,,,,,,,,,,,,,,,,
meta,contour,0|3|4|3|0,,,,,,,,,,,,,,,,
leap_rule,,,,,,4,opposite,,,,,,,,,,,
interval_weight,,,0,26,14,,,,,,,,,,,,,
interval_weight,,,1,8,14,,,,,,,,,,,,,
interval_weight,,,2,16,15,,,,,,,,,,,,,
interval_weight,,,3,16,15,,,,,,,,,,,,,
interval_weight,,,4,22,17,,,,,,,,,,,,,
interval_weight,,,5,6,12,,,,,,,,,,,,,
interval_weight,,,6,6,13,,,,,,,,,,,,,
register,,,,,,,,bass,A1,E2,sine,0.24,,,,,,
register,,,,,,,,chords,A2,E3,triangle,0.10,3.2,8,,,,
register,,,,,,,,lead,A3,A4,triangle,0.17,4.5,12,,,,
register,,,,,,,,rhythm,A3,A4,square,0.06,,,,,,
seed_motif,,,,,,,,bass,,,,,,,b1,intro,0|4,8|8
seed_motif,,,,,,,,bass,,,,,,,b2,A,0|4,8|8
seed_motif,,,,,,,,bass,,,,,,,b3,B,4|0,9|7
seed_motif,,,,,,,,chords,,,,,,,m1,A,R|0+4|R,4|8|4
seed_motif,,,,,,,,chords,,,,,,,m2,B,2+6|R|0+4,7|2|7
seed_motif,,,,,,,,lead,,,,,,,l1,intro,R|0|4,3|3|2
seed_motif,,,,,,,,lead,,,,,,,l2,A,0|3|4|3|0,2|1.5|2|1.5|3
seed_motif,,,,,,,,lead,,,,,,,l3,B,4|6|4|0,3|2|3|4
seed_motif,,,,,,,,rhythm,,,,,,,r1,A,R,4
