# GDSS structure data — see structure/dungeon_structure.csv for full schema notes.
type,section,bars,next,voice_id,active,section_end,cadence_type
section_sequence,intro,8,A,,,,
section_sequence,A,16,A-variation,,,,
section_sequence,A-variation,16,B,,,,
section_sequence,B,16,fade,,,,
section_sequence,fade,8,,,,,
voice_activity,intro,,,bass,1,,
voice_activity,intro,,,mid,0,,
voice_activity,intro,,,lead,1,,
voice_activity,intro,,,rhythm,0,,
voice_activity,A,,,bass,1,,
voice_activity,A,,,mid,1,,
voice_activity,A,,,lead,1,,
voice_activity,A,,,rhythm,1,,
voice_activity,A-variation,,,bass,1,,
voice_activity,A-variation,,,mid,1,,
voice_activity,A-variation,,,lead,1,,
voice_activity,A-variation,,,rhythm,1,,
voice_activity,B,,,bass,1,,
voice_activity,B,,,mid,1,,
voice_activity,B,,,lead,1,,
voice_activity,B,,,rhythm,1,,
voice_activity,fade,,,bass,1,,
voice_activity,fade,,,mid,1,,
voice_activity,fade,,,lead,1,,
voice_activity,fade,,,rhythm,0,,
cadence_map,,,,,,A,resolved
cadence_map,,,,,,A-variation,resolved
cadence_map,,,,,,B,resolved
cadence_map,,,,,,fade,resolved
